"title","actual_film_rating"
"Academy Dinosaur","bad"
"Ace Goldfinger","good"
"Adaptation Holes","good"
"Affair Prejudice","good"
"African Egg","good"
"Agent Truman","good"
"Airplane Sierra","good"
"Airport Pollock","good"
"Alabama Devil","good"
"Aladdin Calendar","good"
"Alamo Videotape","bad"
"Alaska Phantom","bad"
"Ali Forever","good"
"Alice Fantasia","bad"
"Alien Center","good"
"Alley Evolution","good"
"Alone Trip","bad"
"Alter Victory","bad"
"Amadeus Holy","bad"
"Amelie Hellfighters","good"
"American Circus","good"
"Amistad Midsummer","good"
"Anaconda Confessions","bad"
"Analyze Hoosiers","good"
"Angels Life","good"
"Annie Identity","bad"
"Anonymous Human","bad"
"Anthem Luke","good"
"Antitrust Tomatoes","good"
"Anything Savannah","good"
"Apache Divine","good"
"Apocalypse Flamingos","good"
"Apollo Teen","good"
"Arabia Dogma","bad"
"Arachnophobia Rollercoaster","good"
"Argonauts Town","bad"
"Arizona Bang","good"
"Ark Ridgemont","bad"
"Armageddon Lost","bad"
"Army Flintstones","bad"
"Arsenic Independence","bad"
"Artist Coldblooded","good"
"Atlantis Cause","good"
"Attacks Hate","good"
"Attraction Newton","good"
"Autumn Crow","good"
"Baby Hall","good"
"Backlash Undefeated","good"
"Badman Dawn","good"
"Baked Cleopatra","good"
"Balloon Homeward","good"
"Ballroom Mockingbird","bad"
"Bang Kwai","good"
"Banger Pinocchio","bad"
"Barbarella Streetcar","good"
"Barefoot Manchurian","good"
"Basic Easy","good"
"Beach Heartbreakers","good"
"Bear Graceland","good"
"Beast Hunchback","good"
"Beauty Grease","good"
"Bed Highball","good"
"Bedazzled Married","bad"
"Beethoven Exorcist","bad"
"Behavior Runaway","good"
"Beneath Rush","bad"
"Berets Agent","good"
"Betrayed Rear","good"
"Beverly Outlaw","good"
"Bikini Borrowers","good"
"Bilko Anonymous","good"
"Bill Others","good"
"Bingo Talented","good"
"Birch Antitrust","good"
"Bird Independence","good"
"Birdcage Casper","bad"
"Birds Perdition","good"
"Blackout Private","good"
"Blade Polish","bad"
"Blanket Beverly","good"
"Blindness Gun","good"
"Blood Argonauts","bad"
"Blues Instinct","good"
"Boiled Dares","good"
"Bonnie Holocaust","bad"
"Boogie Amelie","good"
"Boondock Ballroom","bad"
"Born Spinal","good"
"Borrowers Bedazzled","bad"
"Boulevard Mob","bad"
"Bound Cheaper","bad"
"Bowfinger Gables","good"
"Brannigan Sunrise","good"
"Braveheart Human","good"
"Breakfast Goldfinger","good"
"Breaking Home","good"
"Bride Intrigue","bad"
"Bright Encounters","good"
"Bringing Hysterical","good"
"Brooklyn Desert","good"
"Brotherhood Blanket","bad"
"Bubble Grosse","good"
"Bucket Brotherhood","good"
"Bugsy Song","good"
"Bull Shawshank","bad"
"Bulworth Commandments","good"
