"customer_id","staff_id","amount","preformance_rank"
410,2,"2.99","25"
410,2,"5.99","25"
410,2,"5.99","25"
410,2,"4.99","25"
410,2,"3.99","25"
410,2,"0.99","25"
410,2,"5.99","25"
410,2,"8.99","25"
410,2,"3.99","25"
410,2,"2.99","25"
410,2,"6.99","25"
410,2,"5.99","25"
410,2,"4.99","25"
410,2,"0.99","25"
148,2,"6.99","24"
148,2,"4.99","24"
148,2,"3.99","24"
148,2,"6.99","24"
148,2,"4.99","24"
148,2,"3.99","24"
148,2,"2.99","24"
148,2,"4.99","24"
148,2,"4.99","24"
148,2,"8.99","24"
148,2,"3.99","24"
148,2,"4.99","24"
148,2,"3.99","24"
148,2,"0.99","24"
148,2,"2.99","24"
148,2,"5.99","24"
148,2,"10.99","24"
148,2,"4.99","24"
148,2,"3.99","24"
148,2,"5.99","24"
148,2,"0.99","24"
148,2,"6.99","24"
459,2,"0.99","23"
459,2,"4.99","23"
459,2,"0.99","23"
459,2,"4.99","23"
459,2,"2.99","23"
176,2,"6.99","23"
176,2,"3.99","23"
176,2,"4.99","23"
176,2,"1.99","23"
176,2,"5.99","23"
176,2,"0.99","23"
176,2,"1.99","23"
176,2,"2.99","23"
176,2,"6.99","23"
176,2,"2.99","23"
137,2,"4.99","23"
137,2,"7.99","23"
137,2,"0.99","23"
137,2,"4.99","23"
137,2,"5.99","23"
137,2,"6.99","23"
137,2,"4.99","23"
137,2,"3.99","23"
137,2,"2.99","23"
380,2,"1.99","23"
137,2,"3.99","23"
137,2,"7.99","23"
380,2,"0.99","23"
380,2,"1.99","23"
380,2,"4.99","23"
380,2,"2.99","23"
380,2,"2.99","23"
380,2,"2.99","23"
380,2,"5.99","23"
137,2,"3.99","23"
35,2,"2.99","23"
35,2,"4.99","23"
35,2,"2.99","23"
35,2,"2.99","23"
35,2,"4.99","23"
35,2,"0.99","23"
35,2,"0.99","23"
35,2,"4.99","23"
137,2,"2.99","23"
137,2,"4.99","23"
137,2,"5.99","23"
137,2,"4.99","23"
380,2,"1.99","23"
380,2,"0.99","23"
380,2,"2.99","23"
380,2,"0.99","23"
380,2,"8.99","23"
459,2,"10.99","23"
459,2,"4.99","23"
459,2,"10.99","23"
459,2,"4.99","23"
459,2,"3.99","23"
459,2,"2.99","23"
459,2,"9.99","23"
459,2,"4.99","23"
459,2,"2.99","23"
459,2,"2.99","23"
144,2,"5.99","22"
138,2,"3.99","22"
138,2,"0.99","22"
138,2,"0.99","22"
138,2,"4.99","22"
138,2,"4.99","22"
138,2,"2.99","22"
138,2,"4.99","22"
138,2,"1.99","22"
138,2,"2.99","22"
138,2,"2.99","22"
138,2,"4.99","22"
144,2,"2.99","22"
144,2,"0.99","22"
144,2,"4.99","22"
144,2,"2.99","22"
144,2,"5.99","22"
144,2,"9.99","22"
144,2,"7.99","22"
144,2,"7.99","22"
